Name	Link	Base Framework	Papers
FedTree	https://github.com/Xtra-Computing/FedTree	ThunderGBM	Not found
Federated XGBoost	https://github.com/mc2-project/federated-xgboost	XGBoost	https://people.eecs.berkeley.edu/~kubitron/courses/cs262a-F19/projects/reports/project6_report.pdf
